"location","time_period","rurality","pc_level3_vocational_students_entered_tech_levels","pc_achieving_3_astar_to_a_alev","pc_achieving_atleast_two_alev","pc_achieving_atleast_two_substantial_lev3_acad","pc_achieving_atleast_two_substantial_lev3","pc_achieving_aab_or_better_alev","pc_achieving_aab_or_better_atleast_two_facilitating_alev","pc_level2_vocational_students_entered_technicalcertificate","pc_level3_vocational_students_entered_applied_generals"
"South East",201819,"Rural - Town and fringe","18.2","8.7","79.6","76.9",82.6,"14.8","11.1","0",50.6
"South East",201819,"Rural - Village","36.1","10.8","78.1","79.1",83.7,"17.7","13.8","12.7",52.6
"South East",201819,"Urban -  City and town","13.6","11.8","79.6","78.8",81.4,"20.1","15.3","6.9",38.1
"South East",201819,"Urban - Major conurbation","6.7","8.9","80.9","80.6",82.7,"16.9","12.3","4",24.6
"South East",201920,"Rural - Hamlet and isolated dwellings","40.2","20.8","75.7","73",74.4,"28.9","19.5","13.8",29.8
"South East",201920,"Rural - Town and fringe","19.1","17.2","88","86.6",92.4,"27.9","19.7","0",62.5
"South East",201920,"Rural - Village","53.3","22.3","84.7","85.4",90.1,"36.2","26.4","27",70.8
"South East",201920,"Urban -  City and town","16.4","20.8","85.2","84",87.1,"31.6","22.5","9.7",47.4
"South East",201920,"Urban - Major conurbation","9.8","20.2","85.9","85.5",91,"30.9","21.6","9.5",40.3
"South West",201718,"Rural - Hamlet and isolated dwellings","3.3","8.6","77.4","77",79.5,"14.5","10.6","36.9",14.4
"South West",201718,"Rural - Town and fringe","27.4","8.3","76","76",80,"15.5","12.2","23.5",70
"South West",201718,"Rural - Village","5.1","17.9","86","85.8",86.8,"28.8","23.2","50.7",18.2
"South West",201718,"Urban -  City and town","8.3","10.9","72.4","72.4",74,"18.3","13.7","36.7",18.5
"South West",201819,"Rural - Hamlet and isolated dwellings","7.5","6.4","78.8","77.7",85.3,"11.5","8.7","0.8",21.8
"South West",201819,"Rural - Town and fringe","55.8","10.3","78.7","78.2",83.9,"18.6","15.4","0",90.3
"South West",201819,"Rural - Village","36.9","16.4","87.7","87.2",88.5,"23.9","17.6","9.2",37.7
"South West",201819,"Urban -  City and town","14.4","10.7","76","75.4",77.5,"18.6","14.2","9.1",32.7
"South West",201920,"Rural - Hamlet and isolated dwellings","5.4","14.6","87.7","86.7",90.3,"22.7","14.1","0",24.9
"South West",201920,"Rural - Town and fringe","54","20","87.4","86.5",92.9,"30.2","22.8","0",87.6
"South West",201920,"Rural - Village","36.8","33","92.4","91.9",95.3,"42.3","34.3","34.2",59
"South West",201920,"Urban -  City and town","15","19.7","83.2","81.8",84,"30.1","21","16.6",38.6
"West Midlands",201718,"Rural - Hamlet and isolated dwellings","11.6","11.1","76.9","76.6",68.8,"17.2","14.2","49",12.9
"West Midlands",201718,"Rural - Town and fringe","46.9","9.8","79.6","78.5",85.6,"18.9","13.8","23.3",83.2
"West Midlands",201718,"Urban -  City and town","7","8.8","74.3","73.8",76.9,"15.3","11.9","40.6",24.5
"West Midlands",201718,"Urban - Major conurbation","8.6","8.5","68.5","68.1",73.3,"14.9","11.9","38.4",27
"West Midlands",201819,"Rural - Hamlet and isolated dwellings","33.8","6.9","85.4","85.4",69.9,"12.8","10.7","3.9",25.2
"West Midlands",201819,"Rural - Town and fringe","26.1","8.8","82.2","81.5",86,"15.2","10.7","0",86.2
"West Midlands",201819,"Urban -  City and town","10.6","8.7","76.7","75.8",79.9,"15","11.7","4.9",39.7
"West Midlands",201819,"Urban - Major conurbation","15.6","8.6","73.7","73.1",76.5,"15.3","12.1","3.7",40.4
"West Midlands",201920,"Rural - Hamlet and isolated dwellings","38","19.8","90","89.8",86.5,"30.4","18.2","8.2",33.3
"West Midlands",201920,"Rural - Town and fringe","47.1","21.2","85.2","84.9",95.3,"33.3","22.1","0",79.7
"West Midlands",201920,"Urban -  City and town","16.7","20","85","83.4",88.4,"30.4","22.1","7.5",43.2
"West Midlands",201920,"Urban - Major conurbation","19.3","16.5","81.6","80.4",85.4,"25.9","19.2","7.2",50.8
"Yorkshire and the Humber",201718,"Rural - Hamlet and isolated dwellings","50","3.1","65.9","65.5",77.4,"14.4","10.3","0",78
"Yorkshire and the Humber",201718,"Rural - Town and fringe","38.5","8.7","71.7","71.4",79.4,"15.1","12.6","31.7",78.6
"Yorkshire and the Humber",201718,"Rural - Village","4.6","28","86.3","86.3",57.1,"39","37","57.6",0.6
"Yorkshire and the Humber",201718,"Urban -  City and town","6.3","9.7","71.4","70.4",72.4,"16.7","12.5","34.1",18.1
"Yorkshire and the Humber",201718,"Urban - Major conurbation","10.2","9.5","71.9","71.4",75.9,"16","12.1","37.5",32.8
"Yorkshire and the Humber",201718,"Urban - Minor conurbation","8.1","9.9","69.2","67.6",73.7,"17","13.2","36",20.5
"Yorkshire and the Humber",201819,"Rural - Hamlet and isolated dwellings","59.1","1.2","73.9","72.7",82.7,"6","1.2","0",93.8
"Yorkshire and the Humber",201819,"Rural - Town and fringe","30.6","7.3","79.7","79",85.3,"13.3","10.4","0",57.9
"Yorkshire and the Humber",201819,"Rural - Village","35","11.3","86.1","86.1",73.1,"25.1","19","3.4",3.5
"Yorkshire and the Humber",201819,"Urban -  City and town","11.5","10.6","74.1","72.7",76.7,"18.1","13.3","2.7",36.5
"Yorkshire and the Humber",201819,"Urban - Major conurbation","18.9","9","76.2","75.5",79,"15.8","11.7","4.3",43.1
"Yorkshire and the Humber",201819,"Urban - Minor conurbation","18.7","9.3","73.3","71.6",75.6,"15.7","12","3.2",32.4
"Yorkshire and the Humber",201920,"Rural - Hamlet and isolated dwellings","50","10.8","88.1","88.1",91.7,"20.3","14.9","NULL",97.7
"Yorkshire and the Humber",201920,"Rural - Town and fringe","28","17.4","84.6","83.9",90.2,"26.2","19.8","0",58.3
"Yorkshire and the Humber",201920,"Rural - Village","51.2","28.8","93.7","93.3",72.3,"42","29.8","26",12
"Yorkshire and the Humber",201920,"Urban -  City and town","15.3","18.2","79.9","78.2",81.5,"28.9","19.1","7.6",39.6
"Yorkshire and the Humber",201920,"Urban - Major conurbation","20.2","17","82.3","80.9",84.9,"26.5","19.1","5.1",47.9
"Yorkshire and the Humber",201920,"Urban - Minor conurbation","26.3","19.1","86.4","84.3",85.5,"28.6","20.3","7.7",44.4
